Détail du scoring optimisé,,,,,,,,,,,,,,,,,,,,,,,
"Une ligne par marque x marketplace. Les marketplaces déjà présents ne sont pas éligibles aux 2 recommandations finales, mais leur score est conservé pour audit.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Marque,Nom dans scoring initial,Pays,Catégorie optimisée,Marketplace,Déjà présent ?,Score optimisé,Priorité,Score initial,Fit catégorie,Fit géographique,Échelle commerciale,Readiness ops/wholesale,Fit positionnement,Incrémentalité,Story/durabilité,Pénalité risque,Score modèle brut,CA estimé utilisé ($M),Effectif min utilisé,Intl.,Durable,Positionnement,Notes data
El Sol (Faithfull the Brand),El Sol,Denmark,Swimwear / Resort,La Redoute,Non,"89,6",P1 — Fort potentiel,"95,0","30,0","10,0","15,0","11,0","12,0","5,0","1,0","0,0","89,0","20,0",50,Medium,FALSE,premium_contemporary,OK
El Sol (Faithfull the Brand),El Sol,Denmark,Swimwear / Resort,Debenhams,Non,"87,8",P1 — Fort potentiel,"95,0","28,0","9,0","15,0","11,0","12,0","6,0","1,0","0,0","87,0","20,0",50,Medium,FALSE,premium_contemporary,OK
El Sol (Faithfull the Brand),El Sol,Denmark,Swimwear / Resort,Galeries Lafayette,Non,"86,4",P1 — Fort potentiel,"90,0","30,0","10,0","15,0","10,0","10,0","5,0","1,0","0,0","86,0","20,0",50,Medium,FALSE,premium_contemporary,OK
El Sol (Faithfull the Brand),El Sol,Denmark,Swimwear / Resort,Nordstrom,Oui,"85,4",P1 — Fort potentiel,"80,0","27,0","9,0","15,0","10,0","12,0","7,0","1,0","0,0","86,0","20,0",50,Medium,FALSE,premium_contemporary,OK
El Sol (Faithfull the Brand),El Sol,Denmark,Swimwear / Resort,Bloomingdale's,Non,"83,6",P1 — Fort potentiel,"80,0","28,0","8,0","15,0","10,0","10,0","7,0","1,0","0,0","84,0","20,0",50,Medium,FALSE,premium_contemporary,OK
Emme Parsons,Emme Parsons,USA,Footwear,Nordstrom,Oui,"83,0",P1 — Fort potentiel,,"30,0","12,0","10,0","9,0","11,0","3,0","5,0","-2,0","83,0","2,0",5,Medium,TRUE,luxury_premium,OK
Emme Parsons,Emme Parsons,USA,Footwear,John Lewis,Non,"78,3",P2 — Recommandé,"72,0","29,0","9,0","9,5","10,0","12,0","4,5","5,0","-5,0","79,0","2,0",5,Medium,TRUE,luxury_premium,OK
Emme Parsons,Emme Parsons,USA,Footwear,Bloomingdale's,Oui,"76,5",P2 — Recommandé,,"28,0","12,0","9,5","9,0","12,0","3,0","3,0","-5,0","76,5","2,0",5,Medium,TRUE,luxury_premium,OK
Emme Parsons,Emme Parsons,USA,Footwear,Debenhams,Non,"70,8",P2 — Recommandé,"92,0","28,0","10,0","10,5","10,0","8,0","4,0","3,0","-10,0","68,5","2,0",5,Medium,TRUE,luxury_premium,OK
Emme Parsons,Emme Parsons,USA,Footwear,La Redoute,Non,"69,7",P3 — Test / à cadrer,"62,0","27,0","8,0","10,5","10,0","8,0","5,0","5,0","-8,0","70,5","2,0",5,Medium,TRUE,luxury_premium,OK
Emme Parsons,Emme Parsons,USA,Footwear,Galeries Lafayette,Non,"65,7",P3 — Test / à cadrer,"72,0","30,0","8,0","5,5","9,0","12,0","5,0","3,5","-13,0","65,0","2,0",5,Medium,TRUE,luxury_premium,OK
FFORME,FFORME,USA,Womenswear RTW,Nordstrom,Oui,"79,4",P2 — Recommandé,,"27,0","12,0","10,4","9,0","11,0","4,0","1,0","0,0","79,4","2,0",11,Medium,FALSE,luxury_premium,OK
FFORME,FFORME,USA,Womenswear RTW,Bloomingdale's,Non,"77,7",P2 — Recommandé,"77,0","28,0","12,0","9,8","9,0","12,0","4,0","1,0","-3,0","77,8","2,0",11,Medium,FALSE,luxury_premium,OK
FFORME,FFORME,USA,Womenswear RTW,John Lewis,Non,"73,7",P2 — Recommandé,"77,0","25,0","9,0","9,8","10,0","11,0","5,5","1,0","-3,0","73,3","2,0",11,Medium,FALSE,luxury_premium,OK
FFORME,FFORME,USA,Womenswear RTW,La Redoute,Non,"67,1",P3 — Test / à cadrer,"60,0","27,0","8,0","10,9","10,0","8,0","6,0","1,0","-8,0","67,9","2,0",11,Medium,FALSE,luxury_premium,OK
FFORME,FFORME,USA,Womenswear RTW,Debenhams,Non,"67,1",P3 — Test / à cadrer,"60,0","28,0","10,0","10,9","10,0","8,0","5,0","1,0","-10,0","67,9","2,0",11,Medium,FALSE,luxury_premium,OK
FFORME,FFORME,USA,Womenswear RTW,Galeries Lafayette,Non,"67,0",P3 — Test / à cadrer,"72,0","30,0","8,0","6,5","9,0","12,0","6,0","1,0","-11,0","66,5","2,0",11,Medium,FALSE,luxury_premium,OK
Fabergé,Faberge,Other,Fine Jewelry,Galeries Lafayette,Oui,"65,0",P3 — Test / à cadrer,,"25,0","6,0","11,0","4,0","11,0","6,0","2,0","-5,0","65,0","50,0",,Low,FALSE,ultra_luxury,Effectif non disponible; Données enrichies absentes du CSV; complétées par recherche web
Fabergé,Faberge,Other,Fine Jewelry,Bloomingdale's,Oui,"63,0",P3 — Test / à cadrer,,"30,0","6,0","11,0","2,0","10,0","6,0","2,0","-9,0","63,0","50,0",,Low,FALSE,ultra_luxury,Effectif non disponible; Données enrichies absentes du CSV; complétées par recherche web
Fabergé,Faberge,Other,Fine Jewelry,Nordstrom,Non,"61,2",P3 — Test / à cadrer,"63,0","28,0","7,0","11,0","2,0","9,0","6,0","2,0","-9,0","61,0","50,0",,Low,FALSE,ultra_luxury,Effectif non disponible; Données enrichies absentes du CSV; complétées par recherche web
Fabergé,Faberge,Other,Fine Jewelry,John Lewis,Non,"56,2",Watchlist — faible fit,"63,0","19,0","6,0","11,0","4,0","8,0","5,5","2,0","-5,0","55,5","50,0",,Low,FALSE,ultra_luxury,Effectif non disponible; Données enrichies absentes du CSV; complétées par recherche web
Fabergé,Faberge,Other,Fine Jewelry,La Redoute,Non,"34,5",Watchlist — faible fit,"75,0","16,0","6,0","11,0","4,0","5,0","6,0","2,0","-25,0","30,0","50,0",,Low,FALSE,ultra_luxury,Effectif non disponible; Données enrichies absentes du CSV; complétées par recherche web
Fabergé,Faberge,Other,Fine Jewelry,Debenhams,Non,"32,7",Watchlist — faible fit,"75,0","18,0","6,0","11,0","4,0","4,0","5,0","2,0","-27,0","28,0","50,0",,Low,FALSE,ultra_luxury,Effectif non disponible; Données enrichies absentes du CSV; complétées par recherche web
FoundRae,FoundRae,USA,Fine Jewelry,Bloomingdale's,Oui,"85,7",P1 — Fort potentiel,,"30,0","12,0","12,7","10,0","12,0","3,0","1,0","0,0","85,7","5,0",25,Medium,FALSE,luxury_premium,OK
FoundRae,FoundRae,USA,Fine Jewelry,Nordstrom,Oui,"83,5",P1 — Fort potentiel,,"28,0","12,0","13,5","10,0","11,0","3,0","1,0","0,0","83,5","5,0",25,Medium,FALSE,luxury_premium,OK
FoundRae,FoundRae,USA,Fine Jewelry,John Lewis,Non,"74,9",P2 — Recommandé,"90,0","19,0","9,0","12,7","11,0","11,0","4,5","1,0","0,0","73,2","5,0",25,Medium,FALSE,luxury_premium,OK
FoundRae,FoundRae,USA,Fine Jewelry,Galeries Lafayette,Non,"73,9",P2 — Recommandé,"77,0","25,0","8,0","10,6","10,0","12,0","5,0","1,0","-3,0","73,6","5,0",25,Medium,FALSE,luxury_premium,OK
FoundRae,FoundRae,USA,Fine Jewelry,La Redoute,Non,"53,8",Watchlist — faible fit,"65,0","16,0","8,0","13,5","11,0","8,0","5,0","1,0","-15,0","52,5","5,0",25,Medium,FALSE,luxury_premium,OK
FoundRae,FoundRae,USA,Fine Jewelry,Debenhams,Non,"53,8",Watchlist — faible fit,"65,0","18,0","10,0","13,5","11,0","7,0","4,0","1,0","-17,0","52,5","5,0",25,Medium,FALSE,luxury_premium,OK
GABRIELA HEARST,GABRIELA HEARST,USA,Womenswear RTW,Galeries Lafayette,Oui,"86,5",P1 — Fort potentiel,,"30,0","8,0","15,0","8,0","12,0","5,0","3,5","0,0","86,5","20,0",50,Medium,TRUE,luxury_premium,OK
GABRIELA HEARST,GABRIELA HEARST,USA,Womenswear RTW,Bloomingdale's,Oui,"86,0",P1 — Fort potentiel,,"28,0","12,0","15,0","8,0","12,0","3,0","3,0","0,0","86,0","20,0",50,Medium,TRUE,luxury_premium,OK
GABRIELA HEARST,GABRIELA HEARST,USA,Womenswear RTW,Nordstrom,Oui,"86,0",P1 — Fort potentiel,,"27,0","12,0","15,0","8,0","11,0","3,0","5,0","0,0","86,0","20,0",50,Medium,TRUE,luxury_premium,OK
GABRIELA HEARST,GABRIELA HEARST,USA,Womenswear RTW,John Lewis,Non,"85,5",P1 — Fort potentiel,"95,0","26,0","9,0","15,0","8,0","12,0","4,5","5,0","0,0","84,5","20,0",50,Medium,TRUE,luxury_premium,OK
GABRIELA HEARST,GABRIELA HEARST,USA,Womenswear RTW,La Redoute,Non,"78,4",P2 — Recommandé,"100,0","27,0","8,0","15,0","8,0","8,0","5,0","5,0","-5,0","76,0","20,0",50,Medium,TRUE,luxury_premium,OK
GABRIELA HEARST,GABRIELA HEARST,USA,Womenswear RTW,Debenhams,Non,"76,6",P2 — Recommandé,"100,0","28,0","10,0","15,0","8,0","8,0","4,0","3,0","-7,0","74,0","20,0",50,Medium,TRUE,luxury_premium,OK
GALVAN,GALVAN,UK,Womenswear RTW,Nordstrom,Oui,"80,4",P1 — Fort potentiel,,"27,0","10,0","12,4","9,0","11,0","5,0","1,0","0,0","80,4","5,0",11,Medium,FALSE,luxury_premium,OK
GALVAN,GALVAN,UK,Womenswear RTW,Bloomingdale's,Non,"79,6",P2 — Recommandé,"72,0","28,0","9,0","11,4","9,0","12,0","5,0","1,0","0,0","80,4","5,0",11,Medium,FALSE,luxury_premium,OK
GALVAN,GALVAN,UK,Womenswear RTW,John Lewis,Oui,"78,4",P2 — Recommandé,,"25,0","12,0","11,4","10,0","11,0","3,0","1,0","0,0","78,4","5,0",11,Medium,FALSE,luxury_premium,OK
GALVAN,GALVAN,UK,Womenswear RTW,Galeries Lafayette,Non,"77,0",P2 — Recommandé,"72,0","30,0","11,0","9,5","9,0","12,0","5,0","1,0","-5,0","77,5","5,0",11,Medium,FALSE,luxury_premium,OK
GALVAN,GALVAN,UK,Womenswear RTW,La Redoute,Non,"73,0",P2 — Recommandé,"65,0","27,0","10,0","12,9","10,0","8,0","5,0","1,0","-5,0","73,9","5,0",11,Medium,FALSE,luxury_premium,OK
GALVAN,GALVAN,UK,Womenswear RTW,Debenhams,Non,"72,1",P2 — Recommandé,"65,0","28,0","12,0","12,9","10,0","8,0","3,0","1,0","-7,0","72,9","5,0",11,Medium,FALSE,luxury_premium,OK
Gigi Burris,Gigi Burris,USA,Bridal / Occasion,Nordstrom,Oui,"73,0",P2 — Recommandé,,"22,0","12,0","9,0","9,0","11,0","4,0","5,0","-4,0","73,0","3,0",2,High,TRUE,luxury_premium,OK
Gigi Burris,Gigi Burris,USA,Bridal / Occasion,John Lewis,Non,"72,1",P2 — Recommandé,"82,0","22,0","9,0","8,5","9,0","11,0","5,5","5,0","-4,0","71,0","3,0",2,High,TRUE,luxury_premium,OK
Gigi Burris,Gigi Burris,USA,Bridal / Occasion,Bloomingdale's,Non,"59,7",Watchlist — faible fit,"52,0","14,0","12,0","8,5","9,0","12,0","4,0","3,0","-7,0","60,5","3,0",2,High,TRUE,luxury_premium,OK
Gigi Burris,Gigi Burris,USA,Bridal / Occasion,Debenhams,Non,"58,7",Watchlist — faible fit,"92,0","22,0","10,0","9,0","9,0","7,0","5,0","3,0","-15,0","55,0","3,0",2,High,TRUE,luxury_premium,OK
Gigi Burris,Gigi Burris,USA,Bridal / Occasion,Galeries Lafayette,Non,"55,1",Watchlist — faible fit,"42,0","18,0","8,0","8,0","9,0","12,0","6,0","3,5","-13,0","56,5","3,0",2,High,TRUE,luxury_premium,OK
Gigi Burris,Gigi Burris,USA,Bridal / Occasion,La Redoute,Non,"54,2",Watchlist — faible fit,"92,0","16,0","8,0","9,0","9,0","8,0","6,0","5,0","-16,0","50,0","3,0",2,High,TRUE,luxury_premium,OK
God's True Cashmere,God's True Cashmere,USA,Knitwear / Cashmere,Nordstrom,Non,"82,5",P1 — Fort potentiel,"87,0","25,0","12,0","10,0","11,0","11,0","5,0","5,0","-2,0","82,0","2,0",5,High,TRUE,luxury_premium,OK
God's True Cashmere,God's True Cashmere,USA,Knitwear / Cashmere,Bloomingdale's,Non,"79,7",P2 — Recommandé,"72,0","28,0","12,0","9,5","11,0","12,0","5,0","3,0","-5,0","80,5","2,0",5,High,TRUE,luxury_premium,OK
God's True Cashmere,God's True Cashmere,USA,Knitwear / Cashmere,John Lewis,Non,"79,2",P2 — Recommandé,"72,0","26,0","9,0","9,5","12,0","12,0","6,5","5,0","-5,0","80,0","2,0",5,High,TRUE,luxury_premium,OK
God's True Cashmere,God's True Cashmere,USA,Knitwear / Cashmere,La Redoute,Non,"78,1",P2 — Recommandé,"92,0","26,0","8,0","10,5","12,0","8,0","7,0","5,0","-5,0","76,5","2,0",5,High,TRUE,luxury_premium,OK
God's True Cashmere,God's True Cashmere,USA,Knitwear / Cashmere,Debenhams,Non,"70,8",P2 — Recommandé,"92,0","22,0","10,0","10,5","12,0","7,0","6,0","3,0","-7,0","68,5","2,0",5,High,TRUE,luxury_premium,OK
God's True Cashmere,God's True Cashmere,USA,Knitwear / Cashmere,Galeries Lafayette,Non,"66,6",P3 — Test / à cadrer,"72,0","27,0","8,0","5,5","11,0","12,0","7,0","3,5","-13,0","66,0","2,0",5,High,TRUE,luxury_premium,OK
Hunting Season,Hunting Season,USA,Accessories / Leather,Nordstrom,Oui,"74,0",P2 — Recommandé,,"25,0","12,0","10,0","9,0","11,0","3,0","1,0","-2,0","74,0","2,0",5,Medium,FALSE,luxury_premium,OK
Hunting Season,Hunting Season,USA,Accessories / Leather,Bloomingdale's,Oui,"71,5",P2 — Recommandé,,"25,0","12,0","9,5","9,0","12,0","3,0","1,0","-5,0","71,5","2,0",5,Medium,FALSE,luxury_premium,OK
Hunting Season,Hunting Season,USA,Accessories / Leather,John Lewis,Non,"71,1",P2 — Recommandé,"72,0","26,0","9,0","9,5","10,0","11,0","4,5","1,0","-5,0","71,0","2,0",5,Medium,FALSE,luxury_premium,OK
Hunting Season,Hunting Season,USA,Accessories / Leather,La Redoute,Non,"65,0",P3 — Test / à cadrer,"87,0","23,0","8,0","10,5","10,0","8,0","5,0","1,0","-8,0","62,5","2,0",5,Medium,FALSE,luxury_premium,OK
Hunting Season,Hunting Season,USA,Accessories / Leather,Debenhams,Non,"64,0",P3 — Test / à cadrer,"87,0","24,0","10,0","10,5","10,0","7,0","4,0","1,0","-10,0","61,5","2,0",5,Medium,FALSE,luxury_premium,OK
Hunting Season,Hunting Season,USA,Accessories / Leather,Galeries Lafayette,Non,"63,5",P3 — Test / à cadrer,"72,0","30,0","8,0","5,5","9,0","12,0","5,0","1,0","-13,0","62,5","2,0",5,Medium,FALSE,luxury_premium,OK
Jacques Marie Mage,Jacques Marie Mage,USA,Eyewear,Nordstrom,Oui,"78,0",P2 — Recommandé,,"20,0","12,0","15,0","7,0","11,0","4,0","4,0","0,0","78,0","10,0",20,High,TRUE,luxury_premium,OK
Jacques Marie Mage,Jacques Marie Mage,USA,Eyewear,Bloomingdale's,Oui,"75,9",P2 — Recommandé,,"20,0","12,0","13,9","7,0","12,0","4,0","2,0","0,0","75,9","10,0",20,High,TRUE,luxury_premium,OK
Jacques Marie Mage,Jacques Marie Mage,USA,Eyewear,Galeries Lafayette,Non,"73,4",P2 — Recommandé,"57,0","23,0","8,0","11,7","7,0","12,0","6,0","2,5","0,0","75,2","10,0",20,High,TRUE,luxury_premium,OK
Jacques Marie Mage,Jacques Marie Mage,USA,Eyewear,John Lewis,Non,"71,7",P2 — Recommandé,"65,0","17,0","9,0","13,9","7,0","11,0","5,5","4,0","0,0","72,4","10,0",20,High,TRUE,luxury_premium,OK
Jacques Marie Mage,Jacques Marie Mage,USA,Eyewear,La Redoute,Non,"64,1",P3 — Test / à cadrer,"65,0","16,0","8,0","15,0","7,0","8,0","6,0","4,0","-5,0","64,0","10,0",20,High,TRUE,luxury_premium,OK
Jacques Marie Mage,Jacques Marie Mage,USA,Eyewear,Debenhams,Non,"59,6",Watchlist — faible fit,"65,0","15,0","10,0","15,0","7,0","7,0","5,0","2,0","-7,0","59,0","10,0",20,High,TRUE,luxury_premium,OK
Jacquie Aiche,Jacquie Aiche,USA,Fine Jewelry,Bloomingdale's,Oui,"84,4",P1 — Fort potentiel,,"30,0","12,0","11,4","10,0","12,0","3,0","1,0","0,0","84,4","5,0",11,Medium,FALSE,luxury_premium,OK
Jacquie Aiche,Jacquie Aiche,USA,Fine Jewelry,Nordstrom,Oui,"82,4",P1 — Fort potentiel,,"28,0","12,0","12,4","10,0","11,0","3,0","1,0","0,0","82,4","5,0",11,Medium,FALSE,luxury_premium,OK
Jacquie Aiche,Jacquie Aiche,USA,Fine Jewelry,John Lewis,Non,"73,4",P2 — Recommandé,"87,0","19,0","9,0","11,4","11,0","11,0","4,5","1,0","0,0","71,9","5,0",11,Medium,FALSE,luxury_premium,OK
Jacquie Aiche,Jacquie Aiche,USA,Fine Jewelry,Galeries Lafayette,Non,"70,7",P2 — Recommandé,"72,0","25,0","8,0","9,5","10,0","12,0","5,0","1,0","-5,0","70,5","5,0",11,Medium,FALSE,luxury_premium,OK
Jacquie Aiche,Jacquie Aiche,USA,Fine Jewelry,La Redoute,Non,"53,2",Watchlist — faible fit,"65,0","16,0","8,0","12,9","11,0","8,0","5,0","1,0","-15,0","51,9","5,0",11,Medium,FALSE,luxury_premium,OK
Jacquie Aiche,Jacquie Aiche,USA,Fine Jewelry,Debenhams,Non,"53,2",Watchlist — faible fit,"65,0","18,0","10,0","12,9","11,0","7,0","4,0","1,0","-17,0","51,9","5,0",11,Medium,FALSE,luxury_premium,OK
James Perse,James Perse,USA,Womenswear RTW,Bloomingdale's,Oui,"87,0",P1 — Fort potentiel,,"28,0","12,0","15,0","10,0","12,0","4,0","1,0","0,0","87,0","50,0",200,Medium,FALSE,luxury_premium,OK
James Perse,James Perse,USA,Womenswear RTW,John Lewis,Non,"85,2",P1 — Fort potentiel,"65,0","29,0","9,0","15,0","11,0","12,0","5,5","1,0","0,0","87,5","50,0",200,Medium,FALSE,luxury_premium,OK
James Perse,James Perse,USA,Womenswear RTW,Nordstrom,Oui,"85,0",P1 — Fort potentiel,,"27,0","12,0","15,0","10,0","11,0","4,0","1,0","0,0","85,0","50,0",200,Medium,FALSE,luxury_premium,OK
James Perse,James Perse,USA,Womenswear RTW,Galeries Lafayette,Non,"84,8",P1 — Fort potentiel,"65,0","30,0","8,0","15,0","10,0","12,0","6,0","1,0","0,0","87,0","50,0",200,Medium,FALSE,luxury_premium,OK
James Perse,James Perse,USA,Womenswear RTW,La Redoute,Non,"84,2",P1 — Fort potentiel,"95,0","30,0","8,0","15,0","11,0","9,0","6,0","1,0","-2,0","83,0","50,0",200,Medium,FALSE,luxury_premium,OK
James Perse,James Perse,USA,Womenswear RTW,Debenhams,Non,"81,5",P1 — Fort potentiel,"95,0","28,0","10,0","15,0","11,0","8,0","5,0","1,0","-3,0","80,0","50,0",200,Medium,FALSE,luxury_premium,OK
Jennifer Chamandi,Jennifer Chamandi,UK,Womenswear RTW,Nordstrom,Non,"78,7",P2 — Recommandé,"67,0","30,0","10,0","10,0","9,0","11,0","6,0","1,0","-2,0","80,0","2,0",5,Medium,FALSE,luxury_premium,OK
Jennifer Chamandi,Jennifer Chamandi,UK,Womenswear RTW,John Lewis,Oui,"77,5",P2 — Recommandé,,"29,0","12,0","9,5","10,0","12,0","4,0","1,0","-5,0","77,5","2,0",5,Medium,FALSE,luxury_premium,OK
Jennifer Chamandi,Jennifer Chamandi,UK,Womenswear RTW,Debenhams,Non,"73,1",P2 — Recommandé,"87,0","28,0","12,0","10,5","10,0","8,0","4,0","1,0","-7,0","71,5","2,0",5,Medium,FALSE,luxury_premium,OK
Jennifer Chamandi,Jennifer Chamandi,UK,Womenswear RTW,Bloomingdale's,Non,"72,8",P2 — Recommandé,"57,0","28,0","9,0","9,5","9,0","12,0","6,0","1,0","-5,0","74,5","2,0",5,Medium,FALSE,luxury_premium,OK
Jennifer Chamandi,Jennifer Chamandi,UK,Womenswear RTW,La Redoute,Non,"71,0",P2 — Recommandé,"57,0","27,0","10,0","10,5","10,0","8,0","6,0","1,0","-5,0","72,5","2,0",5,Medium,FALSE,luxury_premium,OK
Jennifer Chamandi,Jennifer Chamandi,UK,Womenswear RTW,Galeries Lafayette,Non,"69,8",P3 — Test / à cadrer,"72,0","30,0","11,0","5,5","9,0","12,0","6,0","1,0","-10,0","69,5","2,0",5,Medium,FALSE,luxury_premium,OK
Jennifer Meyer,Jennifer Meyer,USA,Fine Jewelry,Bloomingdale's,Oui,"87,1",P1 — Fort potentiel,,"30,0","12,0","13,1","10,0","12,0","4,0","1,0","0,0","87,1","10,0",11,Medium,FALSE,luxury_premium,OK
Jennifer Meyer,Jennifer Meyer,USA,Fine Jewelry,Nordstrom,Oui,"84,9",P1 — Fort potentiel,,"28,0","12,0","13,9","10,0","11,0","4,0","1,0","0,0","84,9","10,0",11,Medium,FALSE,luxury_premium,OK
Jennifer Meyer,Jennifer Meyer,USA,Fine Jewelry,Galeries Lafayette,Non,"76,5",P2 — Recommandé,"82,0","25,0","8,0","10,9","10,0","12,0","6,0","1,0","-2,0","75,9","10,0",11,Medium,FALSE,luxury_premium,OK
Jennifer Meyer,Jennifer Meyer,USA,Fine Jewelry,John Lewis,Non,"76,3",P2 — Recommandé,"92,0","19,0","9,0","13,1","11,0","11,0","5,5","1,0","0,0","74,6","10,0",11,Medium,FALSE,luxury_premium,OK
Jennifer Meyer,Jennifer Meyer,USA,Fine Jewelry,La Redoute,Non,"55,5",Watchlist — faible fit,"65,0","16,0","8,0","14,4","11,0","8,0","6,0","1,0","-15,0","54,4","10,0",11,Medium,FALSE,luxury_premium,OK
Jennifer Meyer,Jennifer Meyer,USA,Fine Jewelry,Debenhams,Non,"55,5",Watchlist — faible fit,"65,0","18,0","10,0","14,4","11,0","7,0","5,0","1,0","-17,0","54,4","10,0",11,Medium,FALSE,luxury_premium,OK
Judith Leiber Couture,Judith Leiber Couture,USA,Accessories / Leather,John Lewis,Non,"88,2",P1 — Fort potentiel,"95,0","29,0","9,0","15,0","12,0","12,0","4,5","1,0","0,0","87,5","20,0",50,High,FALSE,luxury_premium,OK
Judith Leiber Couture,Judith Leiber Couture,USA,Accessories / Leather,Galeries Lafayette,Oui,"88,0",P1 — Fort potentiel,,"30,0","8,0","15,0","12,0","12,0","5,0","1,0","0,0","88,0","20,0",50,High,FALSE,luxury_premium,OK
Judith Leiber Couture,Judith Leiber Couture,USA,Accessories / Leather,Bloomingdale's,Oui,"85,0",P1 — Fort potentiel,,"25,0","12,0","15,0","12,0","12,0","3,0","1,0","0,0","85,0","20,0",50,High,FALSE,luxury_premium,OK
Judith Leiber Couture,Judith Leiber Couture,USA,Accessories / Leather,La Redoute,Non,"84,2",P1 — Fort potentiel,"95,0","30,0","8,0","15,0","12,0","9,0","5,0","1,0","-2,0","83,0","20,0",50,High,FALSE,luxury_premium,OK
Judith Leiber Couture,Judith Leiber Couture,USA,Accessories / Leather,Nordstrom,Oui,"84,0",P1 — Fort potentiel,,"25,0","12,0","15,0","12,0","11,0","3,0","1,0","0,0","84,0","20,0",50,High,FALSE,luxury_premium,OK
Judith Leiber Couture,Judith Leiber Couture,USA,Accessories / Leather,Debenhams,Non,"77,0",P2 — Recommandé,"95,0","24,0","10,0","15,0","12,0","7,0","4,0","1,0","-3,0","75,0","20,0",50,High,FALSE,luxury_premium,OK
Juliette (Shopjulietta),Juliette,USA,Swimwear / Resort,Debenhams,Non,"84,4",P1 — Fort potentiel,"92,0","28,0","10,0","11,5","10,0","12,0","6,0","1,0","0,0","83,5","5,0",5,Medium,FALSE,premium_contemporary,OK
Juliette (Shopjulietta),Juliette,USA,Swimwear / Resort,La Redoute,Non,"82,6",P1 — Fort potentiel,"92,0","27,0","8,0","11,5","10,0","12,0","7,0","1,0","0,0","81,5","5,0",5,Medium,FALSE,premium_contemporary,OK
Juliette (Shopjulietta),Juliette,USA,Swimwear / Resort,Nordstrom,Non,"80,2",P1 — Fort potentiel,"82,0","27,0","12,0","11,0","9,0","12,0","5,0","1,0","-2,0","80,0","5,0",5,Medium,FALSE,premium_contemporary,OK
Juliette (Shopjulietta),Juliette,USA,Swimwear / Resort,Bloomingdale's,Non,"78,6",P2 — Recommandé,"82,0","28,0","12,0","10,2","9,0","10,0","5,0","1,0","-2,0","78,2","5,0",5,Medium,FALSE,premium_contemporary,OK
Juliette (Shopjulietta),Juliette,USA,Swimwear / Resort,John Lewis,Non,"76,3",P2 — Recommandé,"82,0","25,0","9,0","10,2","10,0","11,0","6,5","1,0","-2,0","75,7","5,0",5,Medium,FALSE,premium_contemporary,OK
Juliette (Shopjulietta),Juliette,USA,Swimwear / Resort,Galeries Lafayette,Non,"69,8",P3 — Test / à cadrer,"72,0","30,0","8,0","7,5","9,0","9,0","7,0","1,0","-7,0","69,5","5,0",5,Medium,FALSE,premium_contemporary,OK
Kall Meyer,Kall Meyer,USA,Womenswear RTW,Nordstrom,Non,"79,7",P2 — Recommandé,"77,0","27,0","12,0","9,5","11,0","12,0","4,5","4,0","-5,0","80,0","1,0",5,High,TRUE,premium_contemporary,OK
Kall Meyer,Kall Meyer,USA,Womenswear RTW,Debenhams,Non,"79,6",P2 — Recommandé,"62,0","28,0","10,0","10,0","12,0","12,0","5,5","2,0","-3,0","81,5","1,0",5,High,TRUE,premium_contemporary,OK
Kall Meyer,Kall Meyer,USA,Womenswear RTW,La Redoute,Non,"78,7",P2 — Recommandé,"62,0","27,0","8,0","10,0","12,0","11,0","6,5","4,0","-3,0","80,5","1,0",5,High,TRUE,premium_contemporary,OK
Kall Meyer,Kall Meyer,USA,Womenswear RTW,Bloomingdale's,Non,"71,6",P2 — Recommandé,"72,0","28,0","12,0","7,0","11,0","10,0","4,5","2,0","-8,0","71,5","1,0",5,High,TRUE,premium_contemporary,OK
Kall Meyer,Kall Meyer,USA,Womenswear RTW,John Lewis,Non,"71,1",P2 — Recommandé,"72,0","25,0","9,0","7,0","12,0","11,0","6,0","4,0","-8,0","71,0","1,0",5,High,TRUE,premium_contemporary,OK
Kall Meyer,Kall Meyer,USA,Womenswear RTW,Galeries Lafayette,Non,"65,2",P3 — Test / à cadrer,"72,0","30,0","8,0","5,5","11,0","9,0","6,5","2,5","-13,0","64,5","1,0",5,High,TRUE,premium_contemporary,OK
Kika Vargas,Kika Vargas,Colombia,Womenswear RTW,Nordstrom,Oui,"89,5",P1 — Fort potentiel,,"27,0","11,0","12,5","12,0","11,0","6,0","5,0","0,0","89,5","3,0",20,High,TRUE,luxury_premium,OK
Kika Vargas,Kika Vargas,Colombia,Womenswear RTW,Bloomingdale's,Non,"87,8",P1 — Fort potentiel,"90,0","28,0","10,0","11,6","12,0","12,0","6,0","3,0","0,0","87,6","3,0",20,High,TRUE,luxury_premium,OK
Kika Vargas,Kika Vargas,Colombia,Womenswear RTW,John Lewis,Non,"83,2",P1 — Fort potentiel,"75,0","25,0","8,0","11,6","13,0","11,0","5,5","5,0","0,0","84,1","3,0",20,High,TRUE,luxury_premium,OK
Kika Vargas,Kika Vargas,Colombia,Womenswear RTW,Galeries Lafayette,Non,"81,6",P1 — Fort potentiel,"62,0","30,0","8,0","10,3","12,0","12,0","6,0","3,5","-3,0","83,8","3,0",20,High,TRUE,luxury_premium,OK
