Recommandations finales — 2 nouveaux marketplaces par marque,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaque recommandation exclut les marketplaces déjà présents. Les scores reflètent le modèle optimisé; les raisons/risques sont rédigés pour être utilisables en pitch ou en plan d'action.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Marque,URL,Pays,Catégorie optimisée,Tags produits,CA estimé utilisé ($M),Effectif min utilisé,Intl.,Durable / éthique,Positionnement,Marketplaces déjà présents,Reco #1,Score #1,Priorité #1,Pourquoi #1,Plan d'entrée #1,Conditions / risques #1,Reco #2,Score #2,Priorité #2,Pourquoi #2,Plan d'entrée #2,Conditions / risques #2,Opportunité conseil,Confiance,Notes data,Sources marque
James Perse,jamesperse.com,USA,Womenswear RTW,"home/lifestyle, menswear, womenswear","50,0",200,Medium,Non,luxury_premium,"Bloomingdale's, Nordstrom",John Lewis,"85,2",P1 — Fort potentiel,"fit catégorie très fort (Womenswear RTW) | levier d’entrée UK depuis USA | readiness commerciale: CA $50M, effectif min. 200, international Medium","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",cadrer livraison/retours UK et prix GBP,Galeries Lafayette,"84,8",P1 — Fort potentiel,"fit catégorie très fort (Womenswear RTW) | levier d’entrée France/Europe depuis USA | readiness commerciale: CA $50M, effectif min. 200, international Medium | forte incrémentalité car canal cible peu/ pas exploité","Capsule premium 20–35 SKU; fiches FR/EN, prix EUR, sélection visuelle élevée; viser vitrine online puis pont wholesale/retail si traction.",localiser fiches produit/prix en EUR et cadrer TVA/retours,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,jamesperse.com; ZoomInfo; LinkedIn; BoF
Jennifer Chamandi,jenniferchamandi.com,UK,Womenswear RTW,"accessoires/leather, footwear, womenswear","2,0",5,Medium,Non,luxury_premium,John Lewis,Nordstrom,"78,7",P2 — Recommandé,"fit catégorie très fort (Womenswear RTW) | levier d’expansion US depuis UK | readiness commerciale: CA $2M, effectif min. 5, international Medium | forte incrémentalité car canal cible peu/ pas exploité","Test dropship 30–60 SKU Womenswear RTW; storytelling marque + inclusivité/sizing; pricing USD, fast returns, calendrier capsules saisonnières.",renforcer flux SAV/retours/catalogue avant onboarding | prévoir setup US: TIN/warehouse/retours/service client,Debenhams,"73,1",P2 — Recommandé,"fit catégorie très fort (Womenswear RTW) | cohérence marché UK | readiness commerciale: CA $2M, effectif min. 5, international Medium",Pilot UK online 50–100 SKU; stock-light + retail media; fixer garde-fous promo et seuils de marge avant expansion.,protéger le prix et l’image: capsule sélective sans promo agressive,Pack conseil: setup US marketplace / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,jenniferchamandi.com; Companies House UK; ZoomInfo; LinkedIn
Jennifer Meyer,jennifermeyer.com,USA,Fine Jewelry,"fine jewelry, jewelry","10,0",11,Medium,Non,luxury_premium,"Bloomingdale's, Nordstrom",Galeries Lafayette,"76,5",P2 — Recommandé,"fit catégorie solide (Fine Jewelry) | levier d’entrée France/Europe depuis USA | readiness commerciale: CA $10M, effectif min. 11, international Medium | forte incrémentalité car canal cible peu/ pas exploité","Capsule premium 20–35 SKU; fiches FR/EN, prix EUR, sélection visuelle élevée; viser vitrine online puis pont wholesale/retail si traction.",renforcer flux SAV/retours/catalogue avant onboarding | localiser fiches produit/prix en EUR et cadrer TVA/retours,John Lewis,"76,3",P2 — Recommandé,"fit catégorie à cadrer (Fine Jewelry) | levier d’entrée UK depuis USA | readiness commerciale: CA $10M, effectif min. 11, international Medium","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",cadrer livraison/retours UK et prix GBP | assortiment bijoux à filtrer: prix d’appel et garanties qualité,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,jennifermeyer.com; ZoomInfo; LinkedIn; WWD
Judith Leiber Couture,judithleiber.com,USA,Accessories / Leather,"accessoires/leather, home/lifestyle","20,0",50,High,Non,luxury_premium,"Bloomingdale's, Nordstrom, Galeries Lafayette",John Lewis,"88,2",P1 — Fort potentiel,"fit catégorie très fort (Accessories / Leather) | levier d’entrée UK depuis USA | readiness commerciale: CA $20M, effectif min. 50, international High","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",cadrer livraison/retours UK et prix GBP,La Redoute,"84,2",P1 — Fort potentiel,"fit catégorie très fort (Accessories / Leather) | levier d’entrée France/Europe depuis USA | readiness commerciale: CA $20M, effectif min. 50, international High","Assortiment lifestyle 40–80 SKU; localisation FR, marges/prix contrôlés, volumes et disponibilité; éviter discounting non maîtrisé.",localiser fiches produit/prix en EUR et cadrer TVA/retours | protéger le prix et l’image: capsule sélective sans promo agressive,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,judithleiber.com; ZoomInfo; LinkedIn; Wikipedia; BoF
Juliette (Shopjulietta),shopjulietta.com,USA,Swimwear / Resort,"swim/resort, womenswear","5,0",5,Medium,Non,premium_contemporary,Aucun dans le set cible,Debenhams,"84,4",P1 — Fort potentiel,"fit catégorie très fort (Swimwear / Resort) | levier d’entrée UK depuis USA | readiness commerciale: CA $5M, effectif min. 5, international Medium | forte incrémentalité car canal cible peu/ pas exploité",Pilot UK online 50–100 SKU; stock-light + retail media; fixer garde-fous promo et seuils de marge avant expansion.,cadrer livraison/retours UK et prix GBP,La Redoute,"82,6",P1 — Fort potentiel,"fit catégorie solide (Swimwear / Resort) | levier d’entrée France/Europe depuis USA | readiness commerciale: CA $5M, effectif min. 5, international Medium | forte incrémentalité car canal cible peu/ pas exploité","Assortiment lifestyle 40–80 SKU; localisation FR, marges/prix contrôlés, volumes et disponibilité; éviter discounting non maîtrisé.",localiser fiches produit/prix en EUR et cadrer TVA/retours,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,shopjulietta.com; ZoomInfo; LinkedIn
Kall Meyer,kallmeyer.nyc,USA,Womenswear RTW,womenswear,"1,0",5,High,Oui,premium_contemporary,Aucun dans le set cible,Nordstrom,"79,7",P2 — Recommandé,"fit catégorie solide (Womenswear RTW) | ancrage US utile pour capter la demande domestique premium | readiness commerciale: CA $1M, effectif min. 5, international High | narratif durable/artisanal monétisable","Test dropship 30–60 SKU Womenswear RTW; storytelling marque + inclusivité/sizing; pricing USD, fast returns, calendrier capsules saisonnières.",taille CA sous seuil indicatif: limiter à un drop test | renforcer flux SAV/retours/catalogue avant onboarding,Debenhams,"79,6",P2 — Recommandé,"fit catégorie très fort (Womenswear RTW) | levier d’entrée UK depuis USA | readiness commerciale: CA $1M, effectif min. 5, international High | narratif durable/artisanal monétisable",Pilot UK online 50–100 SKU; stock-light + retail media; fixer garde-fous promo et seuils de marge avant expansion.,taille CA sous seuil indicatif: limiter à un drop test | cadrer livraison/retours UK et prix GBP,Pack conseil: setup US marketplace / go-to-market UK/GBP / assortiment + pitch buyer / storytelling durable,Haute,OK,kallmeyer.nyc; ZoomInfo; LinkedIn; Vogue
Kika Vargas,kikavargas.com,Colombia,Womenswear RTW,womenswear,"3,0",20,High,Oui,luxury_premium,Nordstrom,Bloomingdale's,"87,8",P1 — Fort potentiel,"fit catégorie très fort (Womenswear RTW) | levier d’expansion US depuis Colombia | readiness commerciale: CA $3M, effectif min. 20, international High | narratif durable/artisanal monétisable | forte incrémentalité car canal cible peu/ pas exploité","Pitch curaté 20–40 SKU Womenswear RTW; priorité best-sellers + nouveautés; e-concession/dropship, US warehouse, prix USD et retours calibrés.",prévoir setup US: TIN/warehouse/retours/service client,John Lewis,"83,2",P1 — Fort potentiel,"fit catégorie solide (Womenswear RTW) | levier d’entrée UK depuis Colombia | readiness commerciale: CA $3M, effectif min. 20, international High | narratif durable/artisanal monétisable","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",cadrer livraison/retours UK et prix GBP,Pack conseil: setup US marketplace / go-to-market UK/GBP / assortiment + pitch buyer / storytelling durable,Haute,OK,kikavargas.com; ZoomInfo; LinkedIn
Laura Lombardi,lauralombardi.com,USA,Fine Jewelry,"fine jewelry, jewelry","2,0",5,Medium,Oui,luxury_premium,"Bloomingdale's, Nordstrom",John Lewis,"67,5",P3 — Test / à cadrer,"fit catégorie à cadrer (Fine Jewelry) | levier d’entrée UK depuis USA | readiness commerciale: CA $2M, effectif min. 5, international Medium | narratif durable/artisanal monétisable","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",taille CA sous seuil indicatif: limiter à un drop test | renforcer flux SAV/retours/catalogue avant onboarding | cadrer livraison/retours UK et prix GBP | assortiment bijoux à filtrer: prix d’appel et garanties qualité,Galeries Lafayette,"60,3",P3 — Test / à cadrer,"fit catégorie solide (Fine Jewelry) | levier d’entrée France/Europe depuis USA | readiness commerciale: CA $2M, effectif min. 5, international Medium | narratif durable/artisanal monétisable","Capsule premium 20–35 SKU; fiches FR/EN, prix EUR, sélection visuelle élevée; viser vitrine online puis pont wholesale/retail si traction.",taille CA sous seuil indicatif: limiter à un drop test | renforcer flux SAV/retours/catalogue avant onboarding | localiser fiches produit/prix en EUR et cadrer TVA/retours,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer / storytelling durable,Haute,OK,lauralombardi.com; ZoomInfo; LinkedIn
Les Tien,lestien.com,USA,Womenswear RTW,womenswear,"3,0",11,Medium,Non,luxury_premium,"Bloomingdale's, Nordstrom",John Lewis,"77,4",P2 — Recommandé,"fit catégorie solide (Womenswear RTW) | levier d’entrée UK depuis USA | readiness commerciale: CA $3M, effectif min. 11, international Medium","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",cadrer livraison/retours UK et prix GBP,Galeries Lafayette,"71,6",P2 — Recommandé,"fit catégorie très fort (Womenswear RTW) | levier d’entrée France/Europe depuis USA | readiness commerciale: CA $3M, effectif min. 11, international Medium","Capsule premium 20–35 SKU; fiches FR/EN, prix EUR, sélection visuelle élevée; viser vitrine online puis pont wholesale/retail si traction.",taille CA sous seuil indicatif: limiter à un drop test | renforcer flux SAV/retours/catalogue avant onboarding | localiser fiches produit/prix en EUR et cadrer TVA/retours,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,lestien.com; ZoomInfo; LinkedIn
Lie Studio,lie-studio.com,Denmark,Womenswear RTW,womenswear,"3,0",11,High,Non,premium_contemporary,Aucun dans le set cible,Debenhams,"84,7",P1 — Fort potentiel,"fit catégorie très fort (Womenswear RTW) | levier d’entrée UK depuis Denmark | readiness commerciale: CA $3M, effectif min. 11, international High | forte incrémentalité car canal cible peu/ pas exploité",Pilot UK online 50–100 SKU; stock-light + retail media; fixer garde-fous promo et seuils de marge avant expansion.,cadrer livraison/retours UK et prix GBP,Nordstrom,"84,1",P1 — Fort potentiel,"fit catégorie solide (Womenswear RTW) | levier d’expansion US depuis Denmark | readiness commerciale: CA $3M, effectif min. 11, international High | forte incrémentalité car canal cible peu/ pas exploité","Test dropship 30–60 SKU Womenswear RTW; storytelling marque + inclusivité/sizing; pricing USD, fast returns, calendrier capsules saisonnières.",prévoir setup US: TIN/warehouse/retours/service client,Pack conseil: setup US marketplace / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,lie-studio.com; LinkedIn; ZoomInfo
Lisa Yang,us.lisa-yang.com,Sweden,Womenswear RTW,"knit/cashmere, womenswear","5,0",11,High,Non,luxury_premium,John Lewis,Nordstrom,"83,3",P1 — Fort potentiel,"fit catégorie solide (Womenswear RTW) | levier d’expansion US depuis Sweden | readiness commerciale: CA $5M, effectif min. 11, international High | forte incrémentalité car canal cible peu/ pas exploité","Test dropship 30–60 SKU Womenswear RTW; storytelling marque + inclusivité/sizing; pricing USD, fast returns, calendrier capsules saisonnières.",prévoir setup US: TIN/warehouse/retours/service client,Bloomingdale's,"81,8",P1 — Fort potentiel,"fit catégorie très fort (Womenswear RTW) | levier d’expansion US depuis Sweden | readiness commerciale: CA $5M, effectif min. 11, international High | forte incrémentalité car canal cible peu/ pas exploité","Pitch curaté 20–40 SKU Womenswear RTW; priorité best-sellers + nouveautés; e-concession/dropship, US warehouse, prix USD et retours calibrés.",prévoir setup US: TIN/warehouse/retours/service client,Pack conseil: setup US marketplace / assortiment + pitch buyer,Haute,OK,lisa-yang.com; ZoomInfo; LinkedIn
Lizzie Fortunato,lizziefortunato.com,USA,Fine Jewelry,"fine jewelry, jewelry","3,0",11,Medium,Oui,luxury_premium,"Bloomingdale's, Nordstrom",John Lewis,"75,6",P2 — Recommandé,"fit catégorie à cadrer (Fine Jewelry) | levier d’entrée UK depuis USA | readiness commerciale: CA $3M, effectif min. 11, international Medium | narratif durable/artisanal monétisable","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",cadrer livraison/retours UK et prix GBP | assortiment bijoux à filtrer: prix d’appel et garanties qualité,Galeries Lafayette,"69,3",P3 — Test / à cadrer,"fit catégorie solide (Fine Jewelry) | levier d’entrée France/Europe depuis USA | readiness commerciale: CA $3M, effectif min. 11, international Medium | narratif durable/artisanal monétisable","Capsule premium 20–35 SKU; fiches FR/EN, prix EUR, sélection visuelle élevée; viser vitrine online puis pont wholesale/retail si traction.",taille CA sous seuil indicatif: limiter à un drop test | renforcer flux SAV/retours/catalogue avant onboarding | localiser fiches produit/prix en EUR et cadrer TVA/retours,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer / storytelling durable,Haute,OK,lizziefortunato.com; ZoomInfo; LinkedIn; CFDA
Loren Stewart,lorenstewart.com,USA,Fine Jewelry,"fine jewelry, jewelry","3,0",11,Medium,Non,luxury_premium,"Bloomingdale's, Nordstrom",John Lewis,"70,2",P2 — Recommandé,"fit catégorie à cadrer (Fine Jewelry) | levier d’entrée UK depuis USA | readiness commerciale: CA $3M, effectif min. 11, international Medium","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",cadrer livraison/retours UK et prix GBP | assortiment bijoux à filtrer: prix d’appel et garanties qualité,Galeries Lafayette,"66,2",P3 — Test / à cadrer,"fit catégorie solide (Fine Jewelry) | levier d’entrée France/Europe depuis USA | readiness commerciale: CA $3M, effectif min. 11, international Medium","Capsule premium 20–35 SKU; fiches FR/EN, prix EUR, sélection visuelle élevée; viser vitrine online puis pont wholesale/retail si traction.",taille CA sous seuil indicatif: limiter à un drop test | renforcer flux SAV/retours/catalogue avant onboarding | localiser fiches produit/prix en EUR et cadrer TVA/retours,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,lorenstewart.com; ZoomInfo; LinkedIn; Vogue
MAISON MAYLE,maisonmayle.com,USA,Womenswear RTW,womenswear,"2,0",2,Medium,Non,premium_contemporary,Nordstrom,Debenhams,"73,2",P2 — Recommandé,"fit catégorie très fort (Womenswear RTW) | levier d’entrée UK depuis USA | readiness commerciale: CA $2M, effectif min. 2, international Medium",Pilot UK online 50–100 SKU; stock-light + retail media; fixer garde-fous promo et seuils de marge avant expansion.,renforcer flux SAV/retours/catalogue avant onboarding | cadrer livraison/retours UK et prix GBP,La Redoute,"70,5",P2 — Recommandé,"fit catégorie solide (Womenswear RTW) | levier d’entrée France/Europe depuis USA | readiness commerciale: CA $2M, effectif min. 2, international Medium | forte incrémentalité car canal cible peu/ pas exploité","Assortiment lifestyle 40–80 SKU; localisation FR, marges/prix contrôlés, volumes et disponibilité; éviter discounting non maîtrisé.",renforcer flux SAV/retours/catalogue avant onboarding | localiser fiches produit/prix en EUR et cadrer TVA/retours,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,maisonmayle.com; ZoomInfo; LinkedIn
MARRAKSHI LIFE,marrakshilife.com,Morocco,Swimwear / Resort,"home/lifestyle, swim/resort","1,0",20,Medium,Oui,premium_contemporary,Aucun dans le set cible,La Redoute,"86,9",P1 — Fort potentiel,"fit catégorie très fort (Swimwear / Resort) | levier d’entrée France/Europe depuis Morocco | readiness commerciale: CA $1M, effectif min. 20, international Medium | narratif durable/artisanal monétisable | forte incrémentalité car canal cible peu/ pas exploité","Assortiment lifestyle 40–80 SKU; localisation FR, marges/prix contrôlés, volumes et disponibilité; éviter discounting non maîtrisé.",taille CA sous seuil indicatif: limiter à un drop test | localiser fiches produit/prix en EUR et cadrer TVA/retours,Nordstrom,"79,9",P2 — Recommandé,"fit catégorie solide (Swimwear / Resort) | levier d’expansion US depuis Morocco | readiness commerciale: CA $1M, effectif min. 20, international Medium | narratif durable/artisanal monétisable | forte incrémentalité car canal cible peu/ pas exploité","Test dropship 30–60 SKU Swimwear / Resort; storytelling marque + inclusivité/sizing; pricing USD, fast returns, calendrier capsules saisonnières.",taille CA sous seuil indicatif: limiter à un drop test | prévoir setup US: TIN/warehouse/retours/service client,Pack conseil: setup US marketplace / localisation FR/EUR / assortiment + pitch buyer / storytelling durable,Haute,OK,marrakshilife.com; ZoomInfo; LinkedIn
Maria McManus,mariamcmanus.com,USA,Womenswear RTW,"menswear, womenswear","2,0",5,Medium,Oui,luxury_premium,Nordstrom,Bloomingdale's,"76,1",P2 — Recommandé,"fit catégorie très fort (Womenswear RTW) | ancrage US utile pour capter la demande domestique premium | readiness commerciale: CA $2M, effectif min. 5, international Medium | narratif durable/artisanal monétisable","Pitch curaté 20–40 SKU Womenswear RTW; priorité best-sellers + nouveautés; e-concession/dropship, US warehouse, prix USD et retours calibrés.",taille CA sous seuil indicatif: limiter à un drop test | renforcer flux SAV/retours/catalogue avant onboarding,John Lewis,"73,8",P2 — Recommandé,"fit catégorie solide (Womenswear RTW) | levier d’entrée UK depuis USA | readiness commerciale: CA $2M, effectif min. 5, international Medium | narratif durable/artisanal monétisable","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",taille CA sous seuil indicatif: limiter à un drop test | renforcer flux SAV/retours/catalogue avant onboarding | cadrer livraison/retours UK et prix GBP,Pack conseil: setup US marketplace / go-to-market UK/GBP / assortiment + pitch buyer / storytelling durable,Haute,OK,mariamcmanus.com; ZoomInfo; LinkedIn
Marla Aaron,marlaaaron.com,Other,Fine Jewelry,"fine jewelry, home/lifestyle, jewelry","10,0",11,Low,Non,luxury_premium,"Bloomingdale's, Nordstrom",John Lewis,"76,1",P2 — Recommandé,"fit catégorie très fort (Fine Jewelry) | levier d’entrée UK depuis Other | readiness commerciale: CA $10M, effectif min. 11, international Low","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",cadrer livraison/retours UK et prix GBP | assortiment bijoux à filtrer: prix d’appel et garanties qualité | Données enrichies absentes du CSV; complétées par recherche web,Galeries Lafayette,"68,3",P3 — Test / à cadrer,"fit catégorie solide (Fine Jewelry) | levier d’entrée France/Europe depuis Other | readiness commerciale: CA $10M, effectif min. 11, international Low | forte incrémentalité car canal cible peu/ pas exploité","Capsule premium 20–35 SKU; fiches FR/EN, prix EUR, sélection visuelle élevée; viser vitrine online puis pont wholesale/retail si traction.",renforcer flux SAV/retours/catalogue avant onboarding | localiser fiches produit/prix en EUR et cadrer TVA/retours | Données enrichies absentes du CSV; complétées par recherche web,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer,Moyenne,Données enrichies absentes du CSV; complétées par recherche web,Official site; LinkedIn; LeadIQ
Marlo Laz,marlolaz.com,USA,Fine Jewelry,"fine jewelry, jewelry","2,0",5,Medium,Non,luxury_premium,"Bloomingdale's, Nordstrom",John Lewis,"64,8",P3 — Test / à cadrer,"fit catégorie à cadrer (Fine Jewelry) | levier d’entrée UK depuis USA | readiness commerciale: CA $2M, effectif min. 5, international Medium","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",taille CA sous seuil indicatif: limiter à un drop test | renforcer flux SAV/retours/catalogue avant onboarding | cadrer livraison/retours UK et prix GBP | assortiment bijoux à filtrer: prix d’appel et garanties qualité,Galeries Lafayette,"59,0",Watchlist — faible fit,"fit catégorie solide (Fine Jewelry) | levier d’entrée France/Europe depuis USA | readiness commerciale: CA $2M, effectif min. 5, international Medium","Capsule premium 20–35 SKU; fiches FR/EN, prix EUR, sélection visuelle élevée; viser vitrine online puis pont wholesale/retail si traction.",taille CA sous seuil indicatif: limiter à un drop test | renforcer flux SAV/retours/catalogue avant onboarding | localiser fiches produit/prix en EUR et cadrer TVA/retours,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,marlolaz.com; ZoomInfo; LinkedIn; CFDA
Marta Ferri,shop.martaferri.com,Italy,Swimwear / Resort,"bridal, swim/resort, womenswear","2,0",10,Medium,Oui,premium_contemporary,Aucun dans le set cible,La Redoute,"88,0",P1 — Fort potentiel,"fit catégorie solide (Swimwear / Resort) | cohérence européenne/France | readiness commerciale: CA $2M, effectif min. 10, international Medium | narratif durable/artisanal monétisable","Assortiment lifestyle 40–80 SKU; localisation FR, marges/prix contrôlés, volumes et disponibilité; éviter discounting non maîtrisé.",aucun blocage majeur; avancer en pitch/onboarding,Nordstrom,"87,3",P1 — Fort potentiel,"fit catégorie solide (Swimwear / Resort) | levier d’expansion US depuis Italy | readiness commerciale: CA $2M, effectif min. 10, international Medium | narratif durable/artisanal monétisable | forte incrémentalité car canal cible peu/ pas exploité","Test dropship 30–60 SKU Swimwear / Resort; storytelling marque + inclusivité/sizing; pricing USD, fast returns, calendrier capsules saisonnières.",prévoir setup US: TIN/warehouse/retours/service client,Pack conseil: setup US marketplace / localisation FR/EUR / assortiment + pitch buyer / storytelling durable,Haute,OK,martaferri.com; ZoomInfo; LinkedIn
Martha Calvo,marthacalvo.com,USA,Fine Jewelry,"fine jewelry, jewelry","2,0",5,Medium,Non,luxury_premium,"Bloomingdale's, Nordstrom",John Lewis,"64,8",P3 — Test / à cadrer,"fit catégorie à cadrer (Fine Jewelry) | levier d’entrée UK depuis USA | readiness commerciale: CA $2M, effectif min. 5, international Medium","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",taille CA sous seuil indicatif: limiter à un drop test | renforcer flux SAV/retours/catalogue avant onboarding | cadrer livraison/retours UK et prix GBP | assortiment bijoux à filtrer: prix d’appel et garanties qualité,Galeries Lafayette,"59,0",Watchlist — faible fit,"fit catégorie solide (Fine Jewelry) | levier d’entrée France/Europe depuis USA | readiness commerciale: CA $2M, effectif min. 5, international Medium","Capsule premium 20–35 SKU; fiches FR/EN, prix EUR, sélection visuelle élevée; viser vitrine online puis pont wholesale/retail si traction.",taille CA sous seuil indicatif: limiter à un drop test | renforcer flux SAV/retours/catalogue avant onboarding | localiser fiches produit/prix en EUR et cadrer TVA/retours,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,marthacalvo.com; ZoomInfo; LinkedIn
Mary Katrantzou,marykatrantzou.com,UK,Womenswear RTW,womenswear,"10,0",25,High,Non,luxury_premium,"Bloomingdale's, Galeries Lafayette, John Lewis",Nordstrom,"84,5",P1 — Fort potentiel,"fit catégorie solide (Womenswear RTW) | levier d’expansion US depuis UK | readiness commerciale: CA $10M, effectif min. 25, international High","Test dropship 30–60 SKU Womenswear RTW; storytelling marque + inclusivité/sizing; pricing USD, fast returns, calendrier capsules saisonnières.",prévoir setup US: TIN/warehouse/retours/service client,La Redoute,"72,2",P2 — Recommandé,"fit catégorie solide (Womenswear RTW) | cohérence européenne/France | readiness commerciale: CA $10M, effectif min. 25, international High","Assortiment lifestyle 40–80 SKU; localisation FR, marges/prix contrôlés, volumes et disponibilité; éviter discounting non maîtrisé.",protéger le prix et l’image: capsule sélective sans promo agressive,Pack conseil: setup US marketplace / localisation FR/EUR / assortiment + pitch buyer,Haute,OK,marykatrantzou.com; Companies House UK; ZoomInfo; LinkedIn; BoF
Marysia,marysia.com,USA,Swimwear / Resort,swim/resort,"10,0",25,High,Oui,luxury_premium,"Bloomingdale's, Nordstrom",La Redoute,"82,9",P1 — Fort potentiel,"fit catégorie solide (Swimwear / Resort) | levier d’entrée France/Europe depuis USA | readiness commerciale: CA $10M, effectif min. 25, international High | narratif durable/artisanal monétisable | forte incrémentalité car canal cible peu/ pas exploité","Assortiment lifestyle 40–80 SKU; localisation FR, marges/prix contrôlés, volumes et disponibilité; éviter discounting non maîtrisé.",localiser fiches produit/prix en EUR et cadrer TVA/retours | protéger le prix et l’image: capsule sélective sans promo agressive,John Lewis,"80,4",P1 — Fort potentiel,"fit catégorie à cadrer (Swimwear / Resort) | levier d’entrée UK depuis USA | readiness commerciale: CA $10M, effectif min. 25, international High | narratif durable/artisanal monétisable","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",cadrer livraison/retours UK et prix GBP,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer / storytelling durable,Haute,OK,marysia.com; ZoomInfo; LinkedIn; Vogue
Matteo (Matteo LA),matteola.com,USA,Home / Lifestyle,home/lifestyle,"5,0",11,Medium,Non,luxury_premium,"Bloomingdale's, Nordstrom",La Redoute,"80,5",P1 — Fort potentiel,"fit catégorie très fort (Home / Lifestyle) | levier d’entrée France/Europe depuis USA | readiness commerciale: CA $5M, effectif min. 11, international Medium","Assortiment lifestyle 40–80 SKU; localisation FR, marges/prix contrôlés, volumes et disponibilité; éviter discounting non maîtrisé.",localiser fiches produit/prix en EUR et cadrer TVA/retours | protéger le prix et l’image: capsule sélective sans promo agressive,John Lewis,"79,4",P2 — Recommandé,"fit catégorie très fort (Home / Lifestyle) | levier d’entrée UK depuis USA | readiness commerciale: CA $5M, effectif min. 11, international Medium","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",cadrer livraison/retours UK et prix GBP,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,matteola.com; ZoomInfo; LinkedIn
Maygel Coronel,maygelcoronel.com,Colombia,Swimwear / Resort,swim/resort,"3,0",20,Medium,Oui,luxury_premium,"Bloomingdale's, Nordstrom",La Redoute,"79,8",P2 — Recommandé,"fit catégorie solide (Swimwear / Resort) | levier d’entrée France/Europe depuis Colombia | readiness commerciale: CA $3M, effectif min. 20, international Medium | narratif durable/artisanal monétisable","Assortiment lifestyle 40–80 SKU; localisation FR, marges/prix contrôlés, volumes et disponibilité; éviter discounting non maîtrisé.",localiser fiches produit/prix en EUR et cadrer TVA/retours | protéger le prix et l’image: capsule sélective sans promo agressive,Debenhams,"74,4",P2 — Recommandé,"fit catégorie solide (Swimwear / Resort) | levier d’entrée UK depuis Colombia | readiness commerciale: CA $3M, effectif min. 20, international Medium | narratif durable/artisanal monétisable",Pilot UK online 50–100 SKU; stock-light + retail media; fixer garde-fous promo et seuils de marge avant expansion.,cadrer livraison/retours UK et prix GBP | protéger le prix et l’image: capsule sélective sans promo agressive,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer / storytelling durable,Haute,OK,maygelcoronel.com; ZoomInfo; LinkedIn; Vogue
